,Title,Company,Experience,Location,Pay,Description
3120,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3121,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
3122,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3123,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3124,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
3125,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3126,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
3127,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3128,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
3129,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3130,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3131,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
3132,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3133,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
3134,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
3135,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
3136,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
3137,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3138,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
3139,RPA Business Analyst I Teksystems,Allegis Services India Pvt. Ltd.,3-6 Yrs,Bengaluru(Marathahalli +1),Not disclosed,rpa computer science information technology Business Analyst computer application documentation business analysis mca
3140,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3141,Urgent Opening For Business analyst ( busineess development ),Focus Management Consultants Pvt Ltd.,0-3 Yrs,"Pune, Mumbai",Not disclosed,international sales inside sales international business development international marketing international sales executive software sales it solution sales it sales executive
3142,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3143,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3144,Sr.Business Analyst,Valence Health,2-4 Yrs,Pune,Not disclosed,Statistical analysis Business Analyst Business analysis Reconciliation CMS business rules Healthcare Test cases
3145,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3146,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Chennai,Not disclosed,Microstrategy Data analysis Change management Data management Business analysis Project management Gap analysis Visio
3147,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3148,BA / Senior Business Analyst,Odessa Technologies,3-8 Yrs,Bengaluru,Not disclosed,ERP Bfsi MIS Consulting Agile Healthcare Scrum microsoft
3149,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3150,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3151,Merilytics - Business Analyst - Data Analytics -iit/nit/bits,MERITUS INTELYTICS PRIVATE LIMITED,0-3 Yrs,Hyderabad,Not disclosed,excel analytics python data analysis business analysis problem solving sql statistics
3152,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3153,Business Analyst,Philips India Limited,4-9 Yrs,Bengaluru,Not disclosed,Computer science Nutrition Business analysis Healthcare Support services HTML Scheduling medical records
3154,Business Analyst with Health Care Domain,ITC Infotech India Ltd,3-5 Yrs,Bengaluru,"5,00,000 - 13,00,000 PA.",User Acceptance Testing Wireframing MS Visio Waterfall Brd UML User Stories Agile
3155,Business Analyst - IAM,Capgemini Technology Services India Limited,3-6 Yrs,Bengaluru,Not disclosed,Process analysis cyber security Business Analyst Business analysis Information security Banking Risk analysis Financial services
3156,Senior Business Analyst,CGI Information Systems and Management Consultants    Private Limited,10-14 Yrs,"Bengaluru, Hyderabad",Not disclosed,Business Solutions Fund Accounting Business Modeling Finance User Stories Functional Specifications Corporate Actions Business Process Analysis
3157,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3158,Business Analyst + Asp.net  8-10y-pune-persistent,Persistent Systems Limited.,8-10 Yrs,Pune,Not disclosed,Entity Framework Core Functional Specifications Technical Design ASP.Net .Net MVC Business Analysis
3159,RPA Business Analyst I Teksystems,Allegis Services India Pvt. Ltd.,3-6 Yrs,Bengaluru(Marathahalli +1),Not disclosed,rpa computer science information technology Business Analyst computer application documentation business analysis mca
3160,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
3161,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
3162,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3163,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3164,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
3165,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
3166,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
3167,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
3168,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
3169,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
3170,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
3171,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
3172,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
3173,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3174,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3175,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
3176,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3177,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3178,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
3179,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
3180,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
3181,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3182,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3183,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3184,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
3185,Business Intelligence Analyst,Franklin Templeton International,2-6 Yrs,Hyderabad,Not disclosed,Data management Process improvement Analytical Workflow VB Macros Information technology Analytics
3186,Business Analyst-Qliksense,Novo Nordisk Centre (India) Pvt Ltd,3-5 Yrs,Bengaluru,Not disclosed,qlik sense qlikview
3187,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
3188,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
3189,Sr IT Business Analyst,Motorola Solutions,5-8 Yrs,Bengaluru(Manayata Tech Park),"8,50,000 - 14,00,000 PA.",Enterprise Architecture Data Quality Cloud Computing Data Analysis agile Data Architecture Tableau JIRA
3190,Business Analyst,Think and Learn Private Limited,2-4 Yrs,Bengaluru(Bhavani Nagar),Not disclosed,primary research secondary research business modeling advanced excel presentation skills business analysis international business market research
3191,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
3192,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3193,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
3194,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
3195,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
3196,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
3197,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3198,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3199,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
3200,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
3201,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3202,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3203,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
3204,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
3205,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
3206,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
3207,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
3208,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
3209,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
3210,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
3211,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
3212,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3213,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
3214,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
3215,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
3216,Business Analyst (General Insurance),Edelweiss Financial Services Limited.,4-9 Yrs,Mumbai(Vidya Vihar West),"7,00,000 - 12,00,000 PA.",General Insurance Brd Project Documentation Business Process Test Planning UAT Policy Issuance System Integration
3217,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
3218,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3219,Business Analyst - SQL - Contract,Lobo Staffing Solutions Private Limited,2-3 Yrs,Mumbai,"3,00,000 - 4,50,000 PA.",Business Analysis SQL Testing
3220,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
3221,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
3222,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3223,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3224,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
3225,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
3226,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
3227,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
3228,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
3229,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
3230,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
3231,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
3232,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
3233,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3234,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3235,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
3236,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3237,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3238,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
3239,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
3240,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
3241,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
3242,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
3243,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
3244,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
3245,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
3246,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
3247,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
3248,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
3249,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
3250,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
3251,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
3252,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
3253,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
3254,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
3255,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
3256,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
3257,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
3258,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
3259,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
3260,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
3261,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
3262,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
3263,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
